157783680000.0,7195.24000000,9578.00000000,6871.04000000,9352.89000000,1691323.13778200,1580515199999,14188275899.57744673,14894658,856196.33380200,7181731095.29617454,0
158051520000.0,9351.71000000,10500.00000000,8445.00000000,8523.61000000,1609726.15456400,1583020799999,15497862132.12530647,17837429,798553.01252800,7693054951.95076792,0
158302080000.0,8523.61000000,9188.00000000,3782.13000000,6410.44000000,3789768.91312500,1585699199999,24019544659.32284332,28381746,1845421.42021700,11718738378.67753616,0
158569920000.0,6412.14000000,9460.00000000,6150.11000000,8620.00000000,2528373.69112100,1588291199999,18428838833.75182015,22386100,1225177.00810800,8934788999.32252117,0
158829120000.0,8620.00000000,10067.00000000,8117.00000000,9448.27000000,2685340.07850800,1590969599999,24747877574.69989861,26310658,1290540.41974100,11899518361.29341186,0
159096960000.0,9448.27000000,10380.00000000,8833.00000000,9138.55000000,1504745.51792200,1593561599999,14277079245.33860478,16545761,722427.80543100,6859500825.04564155,0
159356160000.0,9138.08000000,11444.00000000,8893.03000000,11335.46000000,1507827.21494000,1596239999999,14753365566.20898272,20753644,730493.37293200,7150041886.61254989,0
159624000000.0,11335.46000000,12468.00000000,10518.50000000,11649.51000000,1891193.00712800,1598918399999,21998484649.31154974,30195218,905652.24949500,10538058910.64063469,0
159891840000.0,11649.51000000,12050.85000000,9825.00000000,10776.59000000,1730389.16017900,1601510399999,18438729253.51499044,26134850,829701.08163800,8841238423.25022357,0
160151040000.0,10776.59000000,14100.00000000,10374.00000000,13791.00000000,1592634.41994600,1604188799999,19264362947.43750411,22613534,784505.59974900,9492633451.61190591,0
160418880000.0,13791.00000000,19863.16000000,13195.05000000,19695.87000000,2707064.91116500,1606780799999,45120124395.27153614,42912200,1321484.07280200,22052425057.03513672,0
160678080000.0,19695.87000000,29300.00000000,17572.33000000,28923.63000000,2495281.85621700,1609459199999,55748654003.59771713,45342713,1228961.90094900,27479704740.96168839,0
